Anhangabaú;1242.92;917.58
Santa Cecília;1171.41;872.07
Sé;1316.41;917.58
São Bento;1316.41;866.50
Liberdade;1316.41;1023.59
São Joaquim;1316.41;1129.61
Vergueiro;1316.41;1244.41
Paraíso;1316.41;1317.41
Brigadeiro;1215.41;1252.91
Trianon-Masp;1150.91;1188.91
Consolação;1068.91;1105.91
Paulista;1095.91;1077.41
Fraudique Coutinho;979.41;1127.41
Faria Lima;903.91;1127.41
Pinheiros;808.41;1127.41
Butantã;570.41;1127.41
Hebraica-Rebouças;808.41;1176.41
Cidade Universitária;808.41;1015.41
Villa-Lobos-Jaguaré;808.41;957.41
Ceasa;766.42;912.41
Vila Madalena;894.91;931.41
Sumaré;944.91;982.41
Clínicas;993.41;1031.26
Cidade Jardim;808.42;1251.41
Vila Olímpia;808.41;1322.41
Berrini;808.41;1398.91
Morumbi;808.42;1482.41
Granja Julieta;808.41;1570.41
Santo Amaro;808.41;1668.91
Largo Treze;859.91;1668.91
Adolfo Pinheiro;927.41;1668.91
Socorro;808.41;1719.41
Autódromo;808.42;1796.41
Jurubatuba;808.41;1757.91
Primavera-Interlagos;808.41;1834.91
Grajaú;808.42;1873.41
Giovani Grandhi;702.41;1652.91
Vila das Belezas;613.41;1652.91
Campo Limpo;528.91;1652.91
Capão Redondo;444.41;1652.91
Diadema;1316.41;1827.41
Jabaquara;1316.41;1738.41
Conceição;1316.41;1682.07
São Judas;1316.41;1640.07
Saúde;1316.41;1599.41
Praça da Árvore;1316.41;1558.74
Vila Mariana;1316.41;1473.74
Santa Cruz;1316.41;1516.24
Ana Rosa;1316.41;1353.07
Chácara Klabin;1463.07;1416.55
Santos-Imigrantes;1521.74;1416.55
Alto do Ipiranga;1591.55;1416.55
Sacomã;1700.41;1320.07
Jundiaí;356.07;107.07
Várzea Paulista;486.41;107.07
Campo Limpo Paulista;616.41;107.07
Botujuru;709.07;199.74
Francisco Morato;738.93;168.74
Baltazar Fidélis;805.41;237.07
Franco da Rocha;805.41;281.42
Caieiras;805.41;325.74
Perus;805.41;370.07
Vila Aurora;805.41;414.41
Jaraguá;805.41;458.74
Vila Clarice;805.41;503.07
Pirituba;805.41;548.74
Piqueri;805.42;592.74
Lapa;913.74;709.41
Água Branca;1006.42;710.74
Palmeiras-Barra Funda;1092.42;709.41
Júlio Prestes;1092.41;754.42
Palmeiras-Barra Funda;1092.41;791.74
Mal. Deodoro;1136.07;837.41
Lapa;958.41;754.41
Domingos de Moraes;897.32;754.41
Imperatriz Leopodina;749.32;754.41
Presidente Altino;659.07;791.74
Amador Bueno;7.07;754.41
Santa Rita;63.07;754.41
Itapevi;127.08;754.41
Engenheiro Cardoso;170.07;791.75
Sagrado Coração;208.07;791.74
Jandira;246.07;791.74
Jardim Silveira;284.07;791.74
Jardim Belval;322.07;791.74
Barueri;360.07;791.74
Antônio João;394.07;791.74
Santa Terezinha;436.07;791.74
Carapicuíba;471.57;791.74
General Miguel Costa;512.07;791.74
Quitaúna;546.65;791.74
Comandante Samapaio;585.57;791.74
Osasco;622.32;791.74
Luz;1316.41;709.41
Corinthians-Itaquera;2067.95;815.35
Luz;1229.41;797.31
Vila Prudente;1900.41;1137.74
Oratório;1997.07;1137.74
São Caetano do Sul;1919.07;1254.41
Utinga;1971.74;1308.93
Prefeito Saladino;2023.74;1359.74
Capuava;2151.74;1487.74
Mauá;2192.41;1527.74
Guapituba;2232.41;1567.74
Ribeirão Pires;2272.41;1608.41
Rio Grande da Serra;2329.07;1664.41
Paranapiacaba;2391.74;1760.41
Santo André;2089.74;1425.07
Tamandateí;1840.83;1179.98
Ipiranga;1783.26;1118.41
Juventus-Mooca;1731.07;1066.41
Pedro II;1434.41;917.58
Bresser-Mooca;1555.07;860.93
Belém;1640.41;860.93
Brás;1555.07;730.83
Tatuapé;1689.74;730.83
Tatuapé;1687.07;860.93
Carrão;1740.41;860.93
Engenhiro Goulart;1777.26;683.74
USP Leste;1811.74;651.74
Comendador Ermelino;1847.74;620.41
São Miguel Paulista;1914.41;620.41
Penha;1797.07;860.93
Vila Matilde;1853.31;860.93
Guilhermina-Esperança;1908.83;860.93
Patricarca;1964.41;860.93
Artur Alvim;2021.07;860.93
Corinthians-Itaquera;2067.95;860.93
Dom Bosco;2113.07;815.35
José Bonifácio;2158.23;815.35
Jardim Helena-Vila Mara;1981.74;620.41
Itaim Paulista;2048.41;620.41
Jardim Romano;2115.74;620.41
Engenheiro Manoel Feio;2182.41;620.41
Itaquaquecetuba;2249.74;620.41
Guaianases;2200.41;841.58
Antonio Gianetti Neto;2260.88;830.44
Ferraz de Vasconcelos;2297.07;797.07
Aracaré;2311.07;620.41
Poá;2329.07;764.17
Calmon Viana;2372.41;681.74
Calmon Viana;2372.41;721.07
Suzano;2422.41;721.07
Jundiapeba;2462.41;721.07
Braz Cubas;2502.41;721.07
Mogi das Cruzes;2542.41;721.07
Tiradentes;1316.41;654.74
Armênia;1316.41;610.55
Portuguesa-Tietê;1316.41;568.74
Carandiru;1316.41;524.74
Santana;1316.41;482.74
Jardim São Paulo-Ayrton Senna;1316.41;440.07
Parada Inglesa;1316.41;398.07
Tucuruvi;1316.41;356.74
Estudantes;2582.41;721.07
Piraporinha;1465.07;1827.41
São Bernardo;1616.41;1827.41
Ferrazópolis;1616.41;1977.41
Sônia Maria;2203.55;1311.74
São Matheus;2268.83;1245.74
Taboão;2173.75;7.07
Cecap;2115.42;178.26
Vila Galvão;1469.74;159.41
